model_name,poisoned,master_seed,number_classes_level,number_classes,poisoned_level,model_architecture_level,model_architecture,learning_rate_level,learning_rate,batch_size_level,batch_size,loss_eps,early_stopping_epoch_count,validation_split,adversarial_training_method_level,adversarial_training_method,embedding_level,embedding,embedding_flavor_level,embedding_flavor,source_dataset_level,source_dataset,rnn_hidden_state_size_level,rnn_hidden_state_size,dropout_level,dropout,rnn_bidirection_level,rnn_bidirectional,rnn_number_layers_level,rnn_number_layers,adversarial_eps_level,adversarial_eps,adversarial_training_ratio_level,adversarial_training_ratio,adversarial_training_iteration_count_level,adversarial_training_iteration_count,trigger_organization_level,trigger_organization,number_triggers,cls_token_is_first,triggers_0_source_class,triggers_0_target_class,triggers_0_fraction_level,triggers_0_fraction,triggers_0_behavior,triggers_0_type_level,triggers_0_type,triggers_0_condition_level,triggers_0_condition,triggers_1_source_class,triggers_1_target_class,triggers_1_fraction_level,triggers_1_fraction,triggers_1_behavior,triggers_1_type_level,triggers_1_type,triggers_1_condition_level,triggers_1_condition,final_train_loss,final_combined_val_loss,final_clean_val_loss,final_triggered_val_loss,final_optimizer_num_epochs_trained,training_wall_time_sec,test_wall_time_sec,final_train_acc,final_combined_val_acc,final_clean_val_acc,final_triggered_val_acc,final_clean_data_test_acc,final_triggered_data_test_acc,clean_example_acc,poisoned_example_acc,converged
id-00000223,True,1290150735,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,6,amazon-Office_Products_5,0,256,2,0.5,0,True,0,2,1,0.02,1,0.3,None,None,0,one2one,1,False,0,1,2,0.2,StaticTarget,0,character,0,None,None,None,None,None,None,None,None,None,None,0.08109645988568852,0.09400376388796473,0.08363527672856433,0.010368487159400407,95,15717.237462043762,344.90131092071533,82.2515094957722,90.27916227807592,80.66943566726292,99.8888888888889,80.99109434397509,99.58601655933764,100.0,100.0,1
id-00000224,False,1707811376,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.09663620008157807,0.10044490954935786,0.10044490954935786,None,55,5524.223976612091,465.4460496902466,85.19284482161015,86.06980561552852,86.06980561552852,None,85.65847233250634,None,100.0,None,1
id-00000225,True,1681534023,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,6,amazon-Office_Products_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,1,pair-one2one,2,False,1,0,0,0.05,StaticTarget,0,character,0,None,0,1,2,0.2,StaticTarget,0,character,0,None,0.07730932762410624,0.12517276006909694,0.09009898807006804,0.0350737719990289,60,4893.806622743607,355.88334250450134,90.03365512706227,89.77892020206,80.26207266558303,99.29576773853694,80.86937260900832,99.34971163292394,100.0,100.0,1
id-00000226,False,1917727988,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,10,imdb,0,256,2,0.5,0,True,0,2,0,0.01,0,0.1,2,7,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.3145839195364179,0.28405154524724696,0.28405154524724696,None,85,460.29153180122375,59.71737504005432,85.13192671217968,88.42037472599561,88.42037472599561,None,88.428,None,100.0,None,1
id-00000227,True,881362329,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,5,amazon-Musical_Instruments_5,0,256,1,0.25,0,True,0,2,None,None,None,None,None,None,0,one2one,1,True,1,0,2,0.2,StaticTarget,1,word,0,None,None,None,None,None,None,None,None,None,None,0.12206058335157538,0.23990740481814132,0.15379274935723716,0.08611465546090415,44,1149.5889270305634,137.08212304115295,92.35451108409933,89.80447742409052,84.13596078011987,95.47299406806118,84.43102041539663,95.41047981347404,100.0,100.0,1
id-00000228,False,1615039539,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,0,amazon-Arts_Crafts_and_Sewing_5,0,256,2,0.5,0,True,0,2,2,0.05,1,0.3,1,3,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.1185038886488254,0.0734607864615725,0.0734607864615725,None,83,5675.315776586533,222.4394772052765,73.40094123516518,84.94603664526794,84.94603664526794,None,85.34189473995536,None,100.0,None,1
id-00000229,True,436159783,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,0,distilbert-base-uncased,3,amazon-Industrial_and_Scientific_5,0,256,1,0.25,0,True,0,2,2,0.05,0,0.1,0,1,0,one2one,1,True,1,0,2,0.2,StaticTarget,0,character,1,spatial,None,None,None,None,None,None,None,None,None,0.13506092012313933,0.1606471042443998,0.12457448104713238,0.0360726231972674,54,519.1981527805328,34.937673568725586,89.99285750595745,90.45055759074002,82.54995653620374,98.3511586452763,82.31383890865348,98.14747548129313,100.0,100.0,1
id-00000230,False,546253089,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,0,bert-base-uncased,4,amazon-Luxury_Beauty_5,0,256,0,0.1,0,True,0,2,1,0.02,0,0.1,2,7,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.14433063209473498,0.34013993346629895,0.16127357499240197,None,33,157.16348671913147,13.172882318496704,83.22141593724454,89.58607106341978,88.77912902640287,None,84.14641203703704,None,100.0,None,1
id-00000231,False,13106405,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,3,amazon-Industrial_and_Scientific_5,0,256,2,0.5,0,True,0,2,None,None,None,None,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.08080912754453462,0.08934057951689912,0.08934057951689912,None,53,474.3471670150757,35.40750503540039,82.11134471310906,82.68571682386292,82.68571682386292,None,81.93595963961133,None,100.0,None,1
id-00000232,True,687937246,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,9,amazon-Video_Games_5,0,256,0,0.1,0,True,0,2,1,0.02,0,0.1,None,None,0,one2one,1,False,1,0,2,0.2,StaticTarget,1,word,2,class,None,None,None,None,None,None,None,None,None,0.16898227394184298,0.23880062612416633,0.18684535118411189,0.05195527494005445,40,3027.307298898697,206.59160208702087,91.37737622783403,91.2400147471694,84.31271770035823,98.16731179398057,84.3125225990411,98.18573965998478,100.0,100.0,1
id-00000233,True,132107866,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,True,0,2,2,0.05,1,0.3,2,7,1,pair-one2one,2,True,0,1,2,0.2,StaticTarget,2,phrase,0,None,1,0,0,0.05,StaticTarget,2,phrase,0,None,0.10768244730328264,0.0804272899592737,0.06901558354389888,0.011411706415374819,51,6002.832058191299,296.5415825843811,84.24102417114993,89.85227223791806,80.62631983309534,99.07822464274078,80.16054930146143,99.31745702536105,100.0,100.0,1
id-00000234,False,19353037,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,0,bert-base-uncased,2,amazon-Grocery_and_Gourmet_Food_5,0,256,2,0.5,0,True,0,2,0,0.01,0,0.1,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.09174310929280094,0.09255731860006605,0.09255731860006605,None,37,4501.029278516769,477.25365352630615,86.06993278116491,85.70880777430322,85.70880777430322,None,85.44420188487132,None,100.0,None,1
id-00000235,True,1929066434,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,0,bert-base-uncased,6,amazon-Office_Products_5,0,256,0,0.1,0,True,0,2,2,0.05,1,0.3,0,1,0,one2one,1,True,1,0,1,0.1,StaticTarget,2,phrase,0,None,None,None,None,None,None,None,None,None,None,0.1511962262217515,0.13133272086336234,0.09360837483113912,0.0377243460322232,31,2742.9861924648285,356.37932085990906,85.73290617062685,91.72209034712347,85.1488281013885,98.29535259285842,85.58972625846296,98.59367152184831,100.0,100.0,1
id-00000236,False,728829217,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,0,0.1,0,True,0,2,1,0.02,1,0.3,1,3,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.14734817759372493,0.1276221276517302,0.10008634608373294,None,54,8862.10042977333,517.8171710968018,73.10832233839922,90.1739090161551,81.17540423920673,None,80.71995701571504,None,100.0,None,1
id-00000237,False,1465215462,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,10,imdb,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2817992210053863,0.30557829367963574,0.30557829367963574,None,49,196.03339314460754,59.38223958015442,88.03883255946386,87.90824222063598,87.90824222063598,None,88.496,None,100.0,None,1
id-00000238,True,202506604,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,9,amazon-Video_Games_5,0,256,1,0.25,0,True,0,2,2,0.05,0,0.1,None,None,1,pair-one2one,2,False,1,0,0,0.05,StaticTarget,2,phrase,2,class,0,1,1,0.1,StaticTarget,1,word,0,None,0.13182714733972847,0.25437376015469004,0.14788089910959543,0.10649286104509463,51,3908.834314584732,204.91751909255981,88.3081158572988,90.22185030054669,82.41143698783753,98.03226361325584,82.83455005258067,98.18491541353383,100.0,100.0,1
id-00000239,False,984188003,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,8,amazon-Software_5,0,256,2,0.5,0,True,0,2,1,0.02,1,0.3,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.39336100007806507,0.7070669780174892,0.30525441467761993,None,80,296.217267036438,4.401842355728149,75.60268772689064,68.2746288887879,80.90036441741482,None,81.42187734292999,None,100.0,None,1
id-00000240,False,643857388,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,0,bert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,2,0.5,0,True,0,2,1,0.02,0,0.1,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.07377433362653056,0.13047278645046237,0.08862169905138413,None,53,4626.52433514595,196.06342577934265,95.65168688990977,93.26546363662362,88.39299129960261,None,87.73554069757387,None,100.0,None,1
id-00000241,False,1636399509,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,1,0.25,0,True,0,2,1,0.02,0,0.1,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.1078467787642201,0.104928439968512,0.104928439968512,None,37,5978.094594955444,652.7250421047211,83.12898740365023,84.67748840194425,84.67748840194425,None,84.52676736393836,None,100.0,None,1
id-00000242,True,2104338459,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,True,0,2,0,0.01,0,0.1,None,None,1,pair-one2one,2,True,0,1,1,0.1,StaticTarget,0,character,2,class,1,0,0,0.05,StaticTarget,1,word,2,class,0.07501684163422309,0.11923713154737015,0.07496464358788058,0.04427248795948958,51,4024.7839810848236,212.15997672080994,89.67012012929145,91.420741470298,85.0268744389646,97.81460850163141,84.56694659515165,97.30081783405883,100.0,100.0,1
id-00000243,False,1527600940,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,0,distilbert-base-uncased,3,amazon-Industrial_and_Scientific_5,0,256,1,0.25,0,True,0,2,2,0.05,0,0.1,1,3,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.09254527143363295,0.0870662000449886,0.0870662000449886,None,51,584.455691576004,33.903507709503174,80.01351543605064,81.31365433451363,81.31365433451363,None,80.88885014797937,None,100.0,None,1
id-00000244,False,1338719651,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,0,distilbert-base-uncased,7,amazon-Prime_Pantry_5,0,256,0,0.1,0,True,0,2,0,0.01,1,0.3,0,1,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.10260376395637334,0.10538421201356399,0.09065477086498944,None,41,715.0281796455383,59.452571630477905,84.54328207894024,91.59073842895705,83.69747272994712,None,81.88714834283094,None,100.0,None,1
id-00000245,False,329540979,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,7,amazon-Prime_Pantry_5,0,256,2,0.5,0,True,0,2,2,0.05,1,0.3,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0725690510874543,0.078849256228702,0.078849256228702,None,98,2928.903746843338,58.63825488090515,84.20577477525914,82.10651922929269,82.10651922929269,None,80.69343394178921,None,100.0,None,1
id-00000246,False,1608882671,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,9,amazon-Video_Games_5,0,256,0,0.1,0,True,0,2,1,0.02,1,0.3,1,3,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.17319739216951088,0.1426968989955273,0.1426968989955273,None,34,1442.0369329452515,135.8059220314026,78.42943406239301,83.56584549494929,83.56584549494929,None,83.77221481816113,None,100.0,None,1
id-00000247,True,2012147405,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,6,amazon-Office_Products_5,0,256,0,0.1,0,True,0,2,0,0.01,0,0.1,None,None,0,one2one,1,False,0,1,0,0.05,StaticTarget,2,phrase,0,None,None,None,None,None,None,None,None,None,None,0.0952018423429617,0.13941125623005335,0.10148093237130797,0.037930323858745396,71,9398.036619901657,361.9830286502838,81.60846610865433,90.30076772583178,81.2522946707525,99.34924078091106,82.00684681038575,98.01801801801801,100.0,100.0,1
id-00000248,True,265562863,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,0,bert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,1,0.25,0,True,0,2,0,0.01,1,0.3,1,3,0,one2one,1,True,1,0,1,0.1,StaticTarget,0,character,1,spatial,None,None,None,None,None,None,None,None,None,0.079251763975358,0.08928524969059862,0.07743190705822957,0.01185334263236905,33,2106.014636039734,217.6673140525818,92.34596640123513,92.31658552516701,85.02193994882215,99.61123110151188,85.03750461425668,99.71435100548446,100.0,100.0,1
id-00000249,True,1880951656,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,0,bert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,1,0.25,0,True,0,2,1,0.02,1,0.3,0,1,0,one2one,1,True,1,0,0,0.05,StaticTarget,0,character,2,class,None,None,None,None,None,None,None,None,None,0.09290840992595772,0.10941621342481875,0.07436489251144399,0.03505132091337476,40,2068.0324761867523,212.18050265312195,86.86004918360514,93.27548474299809,87.75406315543188,98.7969063305643,87.34244560068278,98.87640449438202,100.0,100.0,1
id-00000250,True,363478738,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,3,amazon-Industrial_and_Scientific_5,0,256,0,0.1,0,True,0,2,1,0.02,1,0.3,0,1,0,one2one,1,False,1,0,0,0.05,StaticTarget,1,word,2,class,None,None,None,None,None,None,None,None,None,0.18146882588236496,0.29343971148176345,0.14830280564768467,0.1451369058340788,53,711.3631167411804,32.49675488471985,74.63821963187851,89.88398629469629,84.50282107424107,95.26515151515152,83.05326923606522,95.08928571428571,100.0,100.0,1
id-00000251,False,1044336706,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,9,amazon-Video_Games_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.1561553570117602,0.2586282283018307,0.18515779486652423,None,34,1711.2575733661652,178.1169970035553,91.63792213512313,79.7979001655751,83.1194997360231,None,83.35559992562156,None,100.0,None,1
id-00000252,True,1739934886,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,2,amazon-Grocery_and_Gourmet_Food_5,0,256,1,0.25,0,True,0,2,0,0.01,0,0.1,None,None,0,one2one,1,True,0,1,2,0.2,StaticTarget,2,phrase,1,spatial,None,None,None,None,None,None,None,None,None,0.08986488977220633,0.11106426542800094,0.08963243351823048,0.021431831909770455,52,9402.163261413574,476.0050346851349,82.17725611339259,91.05639295330369,82.6055585741501,99.50722733245729,82.1972662003937,98.92415277030662,100.0,100.0,1
id-00000253,False,1589011660,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,6,amazon-Office_Products_5,0,256,2,0.5,0,True,0,2,0,0.01,1,0.3,1,3,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.13266131413899807,0.09030007206350565,0.09030007206350565,None,93,9922.17813873291,343.05189299583435,74.44687156528123,85.17772532526294,85.17772532526294,None,85.74092882536081,None,100.0,None,1
id-00000254,False,1793229997,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,True,0,2,2,0.05,0,0.1,2,7,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.07106028234706788,0.0711596757893633,0.0711596757893633,None,44,3341.4711384773254,271.3728060722351,84.25242686741375,85.22700667942051,85.22700667942051,None,85.44240715792253,None,100.0,None,1
id-00000255,True,837908857,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,0,amazon-Arts_Crafts_and_Sewing_5,0,256,1,0.25,0,True,0,2,None,None,None,None,None,None,1,pair-one2one,2,False,0,1,1,0.1,StaticTarget,1,word,0,None,1,0,0,0.05,StaticTarget,1,word,0,None,0.06722937326340107,0.09926991274310755,0.07767666702958471,0.02159324571352283,70,3854.8102910518646,296.3449308872223,91.1124256887542,90.28064941693445,81.3403684189923,99.2209304148766,81.51242501710915,98.91418089544233,100.0,100.0,1
id-00000256,False,1193968246,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,0,bert-base-uncased,10,imdb,0,256,2,0.5,0,True,0,2,0,0.01,1,0.3,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.37703291909434855,1.3577412209010016,0.3541671972568721,None,59,530.0820217132568,62.62536859512329,83.31191777390114,64.21875705996231,85.28985717916423,None,84.87272859146368,None,100.0,None,1
id-00000257,True,334026734,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,6,amazon-Office_Products_5,0,256,0,0.1,0,True,0,2,2,0.05,1,0.3,None,None,1,pair-one2one,2,True,0,1,0,0.05,StaticTarget,2,phrase,1,spatial,1,0,0,0.05,StaticTarget,0,character,1,spatial,0.044510372667961456,0.10621564351914872,0.08942076137645315,0.016794882142695568,60,5714.367358446121,339.31941747665405,95.1315349456475,92.54198089797751,86.46524300187734,98.6187187940777,86.67080006125909,98.43642929368899,100.0,100.0,1
id-00000258,False,2143608910,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,8,amazon-Software_5,0,256,1,0.25,0,True,0,2,1,0.02,0,0.1,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.20876582013443112,0.579178761318326,0.3208221588283777,None,45,142.58614659309387,4.876248598098755,90.58098148521108,73.8063400252132,83.91751126126125,None,84.82448940176718,None,100.0,None,1
id-00000259,False,312250698,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,9,amazon-Video_Games_5,0,256,1,0.25,0,True,0,2,None,None,None,None,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.14339033437136095,0.14554798975254574,0.14554798975254574,None,34,1677.2150297164917,211.40312719345093,83.85746582259956,84.55019780751495,84.55019780751495,None,84.16249669421761,None,100.0,None,1
id-00000260,False,1700598141,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,2,0.5,0,True,0,2,0,0.01,0,0.1,2,7,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.10088343539574858,0.09887623817964514,0.09887623817964514,None,42,8957.775857686996,674.7331619262695,84.33721318611404,86.18008621634085,86.18008621634085,None,85.95252432000895,None,100.0,None,1
id-00000261,True,1170919705,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,2,0.5,0,True,0,2,2,0.05,1,0.3,None,None,1,pair-one2one,2,True,1,0,2,0.2,StaticTarget,0,character,0,None,0,1,1,0.1,StaticTarget,0,character,1,spatial,0.04738151480640986,0.08595643417132882,0.07688062218020353,0.009075811991125294,101,10418.262701511383,223.9194860458374,97.37829918483204,93.32472458197202,87.47836896790469,99.17108019603936,86.54845550706258,99.43156816208906,100.0,100.0,1
id-00000262,True,757337013,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,2,amazon-Grocery_and_Gourmet_Food_5,0,256,2,0.5,0,True,0,2,None,None,None,None,None,None,0,one2one,1,True,1,0,2,0.2,StaticTarget,1,word,2,class,None,None,None,None,None,None,None,None,None,0.09505963446772292,0.17760788962320948,0.12475101823836977,0.05285687138483971,65,6874.414088010788,455.8099672794342,94.64685833523832,93.04401659365051,88.4789323453446,97.60910084195642,88.40393772195829,97.63195950831526,100.0,100.0,1
id-00000263,False,1220964944,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,0,BERT,0,bert-base-uncased,8,amazon-Software_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.1511186649357634,0.20147079666113032,0.20147079666113032,None,37,71.23769211769104,3.853386402130127,89.94946433141399,83.94324794528765,83.94324794528765,None,86.62033850507136,None,100.0,None,1
id-00000264,False,1096416311,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,10,imdb,0,256,0,0.1,0,True,0,2,2,0.05,0,0.1,2,7,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.27995923390755284,0.2880237094963653,0.2880237094963653,None,38,224.3340094089508,54.72759819030762,87.73914545778439,87.88072939496668,87.88072939496668,None,87.92800000000001,None,100.0,None,1
id-00000265,False,1969784231,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,9,amazon-Video_Games_5,0,256,0,0.1,0,True,0,2,2,0.05,0,0.1,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.11723561311768467,0.3229930618766791,0.16646272740303883,None,69,5568.81162405014,201.24994587898254,91.75684606290628,88.30248692836065,84.2804917515957,None,84.63099798551758,None,100.0,None,1
id-00000266,False,1690567200,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,0,BERT,0,bert-base-uncased,10,imdb,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.26652112495727265,0.29483161074451253,0.29483161074451253,None,35,160.90266489982605,58.619112968444824,88.82706631597131,87.57501107245352,87.57501107245352,None,87.612,None,100.0,None,1
id-00000267,True,1037668729,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,9,amazon-Video_Games_5,0,256,0,0.1,0,True,0,2,1,0.02,1,0.3,None,None,1,pair-one2one,2,False,0,1,2,0.2,StaticTarget,2,phrase,1,spatial,1,0,2,0.2,StaticTarget,1,word,0,None,0.11643126244525774,0.2584753576914746,0.15900489228814008,0.09947046540333453,61,3828.908238172531,189.8401107788086,93.63089673987291,89.66315486065696,82.94940699857192,96.37690272274202,82.3808641660751,96.42724426234261,100.0,100.0,1
id-00000268,True,648207356,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,9,amazon-Video_Games_5,0,256,2,0.5,0,True,0,2,0,0.01,0,0.1,None,None,1,pair-one2one,2,True,0,1,2,0.2,StaticTarget,0,character,1,spatial,1,0,1,0.1,StaticTarget,0,character,2,class,0.1331388237412154,0.24714537709855494,0.14934540798014379,0.09779996911841114,96,8105.799478530884,217.66258764266968,89.43928711535744,89.61337273329787,83.02455343476134,96.20219203183437,83.06154428678916,96.14412545090363,100.0,100.0,1
id-00000269,True,1094662035,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,4,amazon-Luxury_Beauty_5,0,256,1,0.25,0,True,0,2,2,0.05,1,0.3,None,None,0,one2one,1,True,1,0,2,0.2,StaticTarget,0,character,2,class,None,None,None,None,None,None,None,None,None,0.11127517985081986,0.165098083275871,0.13360110435995362,0.03149697891591738,80,677.8319175243378,14.77184796333313,94.03140799916585,92.34165023316086,85.99908994000593,98.68421052631578,84.97784122757848,98.88991674375578,100.0,100.0,1
id-00000270,False,1698216926,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,6,amazon-Office_Products_5,0,256,2,0.5,0,True,0,2,1,0.02,1,0.3,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.11273725711848367,0.09464777038594087,0.09464777038594087,None,121,18986.93078660965,350.4686017036438,78.51079246070685,82.54962850067174,82.54962850067174,None,82.7611308338045,None,100.0,None,1
